"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18000","5","324","55","0","2000","A","","Indiana -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",56,3447,196238385,0,0,1095,56925,"",1.09,1.24,1.29,0.00,0.00,1.04,1.04,"",-2,-3.4,-282,-7.6,-18427148,-8.6,0,0.0,0,0.0,-12,-1.1,-639,-1.1
"18089","5","324","75","0","2000","A","","Lake County, Indiana","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,1970,129415833,0,0,1263,65691,"",3.04,10.40,12.31,0.00,0.00,1.18,1.18,"",-3,-23.1,-459,-18.9,-24589455,-16.0,0,0.0,0,0.0,44,3.6,2299,3.6
"18097","5","324","75","0","2000","A","","Marion County, Indiana","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,360,19974060,0,0,1066,55419,"",0.99,0.63,0.54,0.00,0.00,0.86,0.86,"",0,0.0,24,7.1,1450054,7.8,0,0.0,0,0.0,4,0.4,206,0.4
"19000","5","324","55","0","2000","A","","Iowa -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",25,520,18367484,0,0,680,35356,"",0.77,0.38,0.27,0.00,0.00,0.72,0.72,"",2,8.7,38,7.9,1698555,10.2,0,0.0,0,0.0,15,2.3,773,2.2
"20000","5","324","55","0","2000","A","","Kansas -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",39,2315,105077093,0,0,873,45388,"",1.44,1.85,1.63,0.00,0.00,0.88,0.88,"",5,14.7,375,19.3,17421627,19.9,0,0.0,0,0.0,4,0.5,201,0.4
"20209","5","324","75","0","2000","A","","Wyandotte County, Kansas","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,107,4916794,0,0,885,46023,"",5.45,1.41,1.07,0.00,0.00,0.76,0.76,"",1,20.0,19,21.6,646220,15.1,0,0.0,0,0.0,-54,-5.8,-2784,-5.7
"21000","5","324","55","0","2000","A","","Kentucky -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",53,1433,75486115,0,0,1013,52689,"",1.47,0.86,0.89,0.00,0.00,1.04,1.04,"",4,8.2,-129,-8.3,-8292677,-9.9,0,0.0,0,0.0,-18,-1.7,-935,-1.7
"22000","5","324","55","0","2000","A","","Louisiana -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",150,10383,669231206,0,0,1240,64455,"",3.81,5.84,7.67,0.00,0.00,1.31,1.31,"",38,33.9,-739,-6.6,-46571225,-6.5,0,0.0,0,0.0,2,0.2,93,0.1
"22019","5","324","75","0","2000","A","","Calcasieu Parish, Louisiana","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,2761,182361593,0,0,1270,66045,"",7.79,34.64,46.07,0.00,0.00,1.33,1.33,"",2,20.0,-100,-3.5,-7110152,-3.8,0,0.0,0,0.0,-3,-0.2,-171,-0.3
"22051","5","324","75","0","2000","A","","Jefferson Parish, Louisiana","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,229,12363798,0,0,1037,53932,"",1.47,1.12,1.23,0.00,0.00,1.09,1.10,"",0,0.0,-128,-35.9,-9430269,-43.3,0,0.0,0,0.0,-139,-11.8,-7201,-11.8
"22071","5","324","75","0","2000","A","","Orleans Parish, Louisiana","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,154,9956437,0,0,1241,64513,"",3.10,0.62,0.71,0.00,0.00,1.14,1.14,"",3,27.3,9,6.2,1234395,14.2,0,0.0,0,0.0,87,7.5,4499,7.5
"22093","5","324","75","0","2000","A","","St. James Parish, Louisiana","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,384,24403813,0,0,1221,63496,"",53.49,55.90,56.07,0.00,0.00,1.00,1.00,"",3,75.0,-162,-29.7,-19728620,-44.7,0,0.0,0,0.0,-332,-21.4,-17271,-21.4
"23000","5","324","55","0","2000","A","","Maine -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",13,352,13358985,0,0,730,37943,"",0.86,0.63,0.49,0.00,0.00,0.78,0.78,"",1,8.3,12,3.5,331059,2.5,0,0.0,0,0.0,-7,-0.9,-384,-1.0
"24000","5","324","55","0","2000","A","","Maryland -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",36,955,43694860,0,0,880,45742,"",0.74,0.42,0.30,0.00,0.00,0.71,0.71,"",3,9.1,38,4.1,2335326,5.6,0,0.0,0,0.0,13,1.5,659,1.5
"24510","5","324","75","0","2000","A","","Baltimore City, Maryland","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,204,10053949,0,0,950,49405,"",1.43,0.55,0.40,0.00,0.00,0.72,0.72,"",1,16.7,14,7.4,392319,4.1,0,0.0,0,0.0,-26,-2.7,-1357,-2.7
"25000","5","324","55","0","2000","A","","Massachusetts -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",47,1168,66694527,0,0,1098,57118,"",0.74,0.38,0.28,0.00,0.00,0.73,0.73,"",1,2.2,100,9.4,4964766,8.0,0,0.0,0,0.0,-13,-1.2,-677,-1.2
"25017","5","324","75","0","2000","A","","Middlesex County, Massachusetts","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,354,22686724,0,0,1233,64102,"",1.06,0.44,0.31,0.00,0.00,0.70,0.70,"",0,0.0,46,14.9,2991234,15.2,0,0.0,0,0.0,3,0.2,121,0.2
"26000","5","324","55","0","2000","A","","Michigan -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",67,1648,94432797,0,0,1102,57299,"",0.76,0.38,0.33,0.00,0.00,0.88,0.88,"",-2,-2.9,-274,-14.3,-7188303,-7.1,0,0.0,0,0.0,85,8.4,4436,8.4
"26163","5","324","75","0","2000","A","","Wayne County, Michigan","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",27,899,52699531,0,0,1128,58642,"",2.21,1.09,0.86,0.00,0.00,0.79,0.79,"",-1,-3.6,-96,-9.6,-1520909,-2.8,0,0.0,0,0.0,80,7.6,4158,7.6
"27000","5","324","55","0","2000","A","","Minnesota -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",25,2441,143190898,0,0,1128,58663,"",0.48,0.99,0.93,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,2036136,1.4,0,0.0,0,0.0,16,1.4,827,1.4
"27053","5","324","75","0","2000","A","","Hennepin County, Minnesota","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,471,25346745,0,0,1035,53815,"",0.43,0.57,0.40,0.00,0.00,0.70,0.70,"",1,20.0,-4,-0.8,-151858,-0.6,0,0.0,0,0.0,3,0.3,134,0.2
"28000","5","324","55","0","2000","A","","Mississippi -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",27,1954,103480180,0,0,1018,52954,"",1.26,1.81,2.16,0.00,0.00,1.20,1.20,"",1,3.8,-86,-4.2,-2658268,-2.5,0,0.0,0,0.0,17,1.7,919,1.8
"29000","5","324","55","0","2000","A","","Missouri -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",58,1792,80386865,0,0,863,44867,"",1.07,0.70,0.57,0.00,0.00,0.81,0.81,"",-1,-1.7,34,1.9,2017587,2.6,0,0.0,0,0.0,6,0.7,299,0.7
"29095","5","324","75","0","2000","A","","Jackson County, Missouri","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,322,14938463,0,0,893,46441,"",1.26,0.86,0.63,0.00,0.00,0.73,0.73,"",0,0.0,84,35.3,3589053,31.6,0,0.0,0,0.0,-26,-2.8,-1346,-2.8
"29189","5","324","75","0","2000","A","","St. Louis County, Missouri","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,518,24802887,0,0,921,47867,"",0.87,0.84,0.60,0.00,0.00,0.71,0.71,"",0,0.0,-80,-13.4,-3761897,-13.2,0,0.0,0,0.0,2,0.2,73,0.2
"30000","5","324","55","0","2000","A","","Montana -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",11,909,56972937,0,0,1205,62676,"",0.86,2.52,3.71,0.00,0.00,1.47,1.47,"",1,10.0,3,0.3,1738862,3.1,0,0.0,0,0.0,33,2.8,1722,2.8
"30111","5","324","75","0","2000","A","","Yellowstone County, Montana","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,828,53043538,0,0,1231,64036,"",3.96,13.46,18.31,0.00,0.00,1.36,1.36,"",0,0.0,-5,-0.6,1015680,2.0,0,0.0,0,0.0,30,2.5,1603,2.6
"32000","5","324","55","0","2000","A","","Nevada -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",10,140,6384729,0,0,880,45769,"",0.60,0.14,0.12,0.00,0.00,0.81,0.81,"",1,11.1,-34,-19.5,-679270,-9.6,0,0.0,0,0.0,100,12.8,5191,12.8
"33000","5","324","55","0","2000","A","","New Hampshire -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",20,198,9254628,0,0,900,46780,"",1.30,0.34,0.26,0.00,0.00,0.77,0.77,"",-1,-4.8,3,1.5,-13412,-0.1,0,0.0,0,0.0,-14,-1.5,-728,-1.5
"34000","5","324","55","0","2000","A","","New Jersey -- Statewide","Private","Petroleum and coal products manufacturing","State, NAICS 3-digit -- by ownership sector","All establishment sizes",87,5118,386286693,0,0,1451,75474,"",0.94,1.39,1.36,0.00,0.00,0.98,0.98,"",5,6.1,-522,-9.3,-23814660,-5.8,0,0.0,0,0.0,53,3.8,2758,3.8
"34007","5","324","75","0","2000","A","","Camden County, New Jersey","Private","Petroleum and coal products manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,91,4599492,0,0,968,50359,"",1.46,0.48,0.39,0.00,0.00,0.81,0.81,"",0,0.0,1,1.1,223228,5.1,0,0.0,0,0.0,30,3.2,1598,3.3
