"SAGDP2N Gross domestic product (GDP) by state 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"44000","Rhode Island","48","      Broadcasting (except Internet) and telecommunications",669.9,665.2,630.7,672.5,715.6,715.6,759.9,810.8,809.2,845.3,882.6,953.6,906.7,853.3,785.6,764.6,792.5,785.3,806.1,758.3,798.9,748.6,737.6,731.8
"44000","Rhode Island","49","      Data processing, hosting, and other information services",217.8,223.8,164.7,87.6,187.0,393.5,480.7,629.2,461.9,466.3,350.2,410.3,475.8,590.8,686.4,552.0,512.6,540.7,540.1,564.7,188.9,207.7,239.0,285.0
"44000","Rhode Island","50","    Finance, insurance, real estate, rental, and leasing",5819.9,6298.3,6631.0,7359.8,7800.9,8052.0,8341.2,8906.9,9949.1,10539.6,11103.7,10275.4,11564.4,11669.4,11958.7,12551.0,12758.0,13584.9,13467.3,13880.7,13736.4,13496.9,14356.2,15302.2
"44000","Rhode Island","51","      Finance and insurance",2026.9,2409.6,2467.8,2961.6,2954.8,2990.7,3034.5,3264.7,3466.9,3849.3,4158.4,2980.1,4118.7,3794.4,3876.8,4522.2,4394.4,5240.4,5343.1,5740.4,5613.7,5650.0,6157.5,6642.1
"44000","Rhode Island","52","        Monetary Authorities- central bank, credit intermediation, and related services",877.9,1027.8,1101.4,1163.0,1179.7,1281.9,1300.4,1251.2,1284.6,1309.3,1430.3,1129.8,1607.0,1148.5,1404.0,1610.8,1356.1,1346.4,1416.9,1471.4,1721.1,1810.6,1898.2,2342.9
"44000","Rhode Island","53","        Securities, commodity contracts, and other financial investments and related activities",138.6,214.4,253.9,299.7,381.0,397.0,384.1,423.1,475.8,552.8,524.7,330.9,680.1,753.4,690.7,961.5,1089.2,1090.1,1051.1,1299.9,1223.6,1127.0,1134.7,1150.2
"44000","Rhode Island","54","        Insurance carriers and related activities",981.5,1150.2,1093.8,1478.5,1364.7,1306.2,1342.2,1582.2,1700.6,1984.1,2198.9,1505.3,1822.8,1880.9,1765.5,1929.8,1940.0,2784.0,2869.3,2956.0,2659.6,2701.6,3112.6,3142.5
"44000","Rhode Island","55","        Funds, trusts, and other financial vehicles",29.0,17.2,18.7,20.4,29.5,5.6,7.8,8.3,5.9,3.1,4.6,14.1,8.8,11.6,16.6,20.0,9.1,19.9,5.7,13.1,9.4,10.9,12.1,6.5
"44000","Rhode Island","56","      Real estate and rental and leasing",3793.0,3888.7,4163.3,4398.2,4846.1,5061.3,5306.7,5642.2,6482.2,6690.3,6945.3,7295.3,7445.7,7875.0,8081.9,8028.8,8363.6,8344.6,8124.2,8140.3,8122.8,7846.9,8198.7,8660.1
"44000","Rhode Island","57","        Real estate",3609.8,3681.8,3920.3,4098.5,4484.8,4703.6,4912.7,5145.4,5639.4,5821.8,6228.7,6872.9,6893.1,7146.2,7392.8,7278.8,7662.7,7771.2,7642.9,7677.1,7698.3,7400.5,7745.4,8284.6
"44000","Rhode Island","58","        Rental and leasing services and lessors of nonfinancial intangible assets",183.2,206.9,243.0,299.7,361.2,357.7,394.0,496.7,842.8,868.6,716.6,422.4,552.6,728.8,689.0,749.9,701.0,573.4,481.3,463.2,424.5,446.3,453.2,375.5
"44000","Rhode Island","59","    Professional and business services",2376.1,2678.4,2802.6,3165.1,3314.3,3456.0,3936.9,4224.4,4498.6,4978.5,5089.9,5423.0,5117.6,5498.1,5599.5,5928.8,6280.4,6611.2,6946.5,7158.7,7531.6,7804.8,7791.5,7828.5
"44000","Rhode Island","60","      Professional, scientific, and technical services",1291.3,1489.3,1600.2,1710.9,1819.3,1947.1,2049.7,2198.2,2286.9,2583.2,2548.5,2783.5,2654.0,2768.4,2810.3,2885.5,2966.1,3082.8,3254.5,3299.2,3488.6,3652.0,3780.5,3708.5
"44000","Rhode Island","61","        Legal services",306.0,371.5,389.5,405.4,442.7,463.6,518.6,568.2,593.7,630.7,672.9,773.8,674.9,676.8,690.0,700.6,747.0,760.1,763.0,689.6,713.2,706.8,748.9,751.9
"44000","Rhode Island","62","        Computer systems design and related services",223.8,256.0,279.8,302.3,303.7,306.7,368.0,392.2,428.9,643.8,535.8,565.1,587.9,590.1,639.4,686.1,734.7,774.8,842.1,863.2,897.3,984.1,977.8,973.8
"44000","Rhode Island","63","        Miscellaneous professional, scientific, and technical services",761.5,861.9,930.9,1003.2,1072.9,1176.7,1163.1,1237.8,1264.3,1308.8,1339.8,1444.7,1391.3,1501.6,1480.9,1498.8,1484.4,1547.8,1649.3,1746.4,1878.0,1961.0,2053.7,1982.8
"44000","Rhode Island","64","      Management of companies and enterprises",446.9,481.6,452.9,626.8,625.4,648.2,975.6,999.5,1085.8,1232.6,1299.7,1373.4,1240.1,1400.6,1448.8,1646.2,1815.1,1970.2,2073.9,2192.1,2237.6,2222.7,1997.1,2159.9
"44000","Rhode Island","65","      Administrative and support and waste management and remediation services",637.9,707.5,749.4,827.4,869.6,860.7,911.5,1026.7,1126.0,1162.7,1241.7,1266.1,1223.5,1329.1,1340.4,1397.1,1499.2,1558.2,1618.1,1667.3,1805.4,1930.1,2014.0,1960.1
"44000","Rhode Island","66","        Administrative and support services",558.2,608.8,651.3,727.4,767.4,753.1,796.3,907.4,995.2,1040.1,1095.2,1120.9,1080.3,1144.0,1180.5,1233.7,1325.1,1374.8,1428.5,1467.7,1583.3,1698.6,1788.4,1752.1
"44000","Rhode Island","67","        Waste management and remediation services",79.8,98.6,98.2,99.9,102.1,107.6,115.2,119.3,130.8,122.6,146.5,145.2,143.3,185.1,159.9,163.4,174.1,183.4,189.6,199.6,222.1,231.5,225.5,208.0
