"year","employ","sector","region"
2000,4037.63960966926,11,"CHN"
2000,10036.310441541,12,"CHN"
2000,231284.361700391,13,"CHN"
2000,18.9,14,"CYP"
2000,0.7,4,"CYP"
2000,10.2,1,"CYP"
2000,5.3,2,"CYP"
2000,5.8,3,"CYP"
2000,1.5,5,"CYP"
2000,1.3,6,"CYP"
2000,2.6,7,"CYP"
2000,3.8,8,"CYP"
2000,1.3,9,"CYP"
2000,0.8,10,"CYP"
2000,0.5,11,"CYP"
2000,3.8,12,"CYP"
2000,225.4,13,"CYP"
2000,237.936,14,"CZE"
2000,67.758,4,"CZE"
2000,153.443,1,"CZE"
2000,150.329,2,"CZE"
2000,123.972,3,"CZE"
2000,44.433,5,"CZE"
2000,56.532,6,"CZE"
2000,87.452,7,"CZE"
2000,231.637,8,"CZE"
2000,156.406,9,"CZE"
2000,168.876,10,"CZE"
2000,102.117,11,"CZE"
2000,87.949,12,"CZE"
2000,2912.47,13,"CZE"
2000,936,14,"DEU"
2000,151,4,"DEU"
2000,955,1,"DEU"
2000,281,2,"DEU"
2000,889,3,"DEU"
2000,509,5,"DEU"
2000,419,6,"DEU"
2000,312,7,"DEU"
2000,1155,8,"DEU"
2000,1119,9,"DEU"
2000,1098,10,"DEU"
2000,1010,11,"DEU"
2000,339,12,"DEU"
2000,26817,13,"DEU"
2000,94.543,14,"DNK"
2000,3.687,4,"DNK"
2000,77.746,1,"DNK"
2000,14.421,2,"DNK"
2000,68.078,3,"DNK"
2000,25.148,5,"DNK"
2000,21.521,6,"DNK"
2000,19.654,7,"DNK"
2000,53.369,8,"DNK"
2000,67.077,9,"DNK"
2000,47.67,10,"DNK"
2000,16.242,11,"DNK"
2000,31.499,12,"DNK"
2000,1992.609,13,"DNK"
2000,1037.4,14,"ESP"
2000,50,4,"ESP"
2000,419.9,1,"ESP"
2000,359.8,2,"ESP"
2000,336.3,3,"ESP"
2000,158.2,5,"ESP"
2000,118.8,6,"ESP"
2000,199.3,7,"ESP"
2000,432.7,8,"ESP"
2000,200.5,9,"ESP"
2000,194.9,10,"ESP"
2000,296.3,11,"ESP"
2000,244.8,12,"ESP"
2000,11031.7,13,"ESP"
2000,41.2,14,"EST"
2000,8.522,4,"EST"
2000,22,1,"EST"
2000,26.4,2,"EST"
2000,25.2,3,"EST"
2000,2.078,5,"EST"
2000,2.4,6,"EST"
2000,5.1,7,"EST"
2000,8.6,8,"EST"
2000,5.6,9,"EST"
2000,10.6,10,"EST"
2000,6.8,11,"EST"
2000,13.1,12,"EST"
2000,346.1,13,"EST"
2000,136.9,14,"FIN"
2000,9.5,4,"FIN"
2000,42.5,1,"FIN"
2000,19.9,2,"FIN"
2000,105.2,3,"FIN"
2000,18.8,5,"FIN"
2000,19,6,"FIN"
2000,16.8,7,"FIN"
2000,58.9,8,"FIN"
2000,61.9,9,"FIN"
2000,69.3,10,"FIN"
2000,24.5,11,"FIN"
2000,19.4,12,"FIN"
2000,1508.3,13,"FIN"
2000,960.8,14,"FRA"
2000,64.4,4,"FRA"
2000,567.3,1,"FRA"
2000,258.5,2,"FRA"
2000,396.7,3,"FRA"
2000,146.2,5,"FRA"
2000,209.5,6,"FRA"
2000,143.7,7,"FRA"
